#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2014 03 08 17 50 360  3.1  3.8 99.00 99.00 99.00 999 1022.3  12.2  13.0 999.0 99.0 99.00
2014 03 08 18 50  27  2.6  3.3  2.17 10.81  7.85 280 1022.0  12.3  13.1 999.0 99.0 99.00
2014 03 08 19 50 320  5.0  6.0  1.91 12.12  7.45 279 1022.1  12.5  13.3 999.0 99.0 99.00
2014 03 08 20 50 322  6.1  7.1  2.15 11.43  8.06 282 1021.5  12.6  13.4 999.0 99.0 99.00
2014 03 08 21 50 328  6.5  7.7  1.82 10.81  7.14 283 1020.8  13.0  13.4 999.0 99.0 99.00
2014 03 08 22 50 319  7.8  9.0 99.00 99.00 99.00 999 1020.5  13.1  13.4 999.0 99.0 99.00
2014 03 08 23 50 329  6.9  7.9  1.67 10.81  6.25 276 1020.3  13.1  13.5 999.0 99.0 99.00
2014 03 09 00 50 321  6.5  7.7  1.71 10.81  6.73 288 1020.7  13.2  13.5 999.0 99.0 99.00
2014 03 09 01 50 327  5.1  5.9  1.71 11.43  7.08 291 1021.0  13.2  13.4 999.0 99.0 99.00
2014 03 09 02 50 330  4.1  5.6  1.74 11.43  7.39 281 1021.2  13.2  13.4 999.0 99.0 99.00
2014 03 09 03 50 316  4.9  6.1 99.00 99.00 99.00 999 1021.8  13.3  13.3 999.0 99.0 99.00
2014 03 09 04 50 317  5.9  6.9  1.62 10.81  7.26 281 1022.2  13.3  13.3 999.0 99.0 99.00
2014 03 09 05 50 325  5.6  6.6 99.00 99.00 99.00 999 1022.9  13.5  13.3 999.0 99.0 99.00
2014 03 09 06 50 326  5.4  6.5  1.59 10.81  6.87 277 1022.8  13.6  13.3 999.0 99.0 99.00
2014 03 09 07 50 323  4.9  5.6  1.55 10.00  7.18 278 1022.2  13.5  13.2 999.0 99.0 99.00
